part_number,status
ENCY25084U,FOUND EXACTLY
3SK1111-1AB30,FOUND EXACTLY
U60O250EKT,FOUND - FORMAT DIFFERENCE
U1818G250ECT-XMXXX,NOT IN OLD CATALOGUE
3WL9111-0AP02-0AA0,NOT IN OLD CATALOGUE
3RT2046-1AF00,NOT IN OLD CATALOGUE
5SL6302-7CC,FOUND EXACTLY
1050000000,FOUND EXACTLY
ENCY25036T,FOUND EXACTLY
1010100000,FOUND EXACTLY
1054460000,FOUND EXACTLY
6EP3332-6SB00-0AY0,NOT IN OLD CATALOGUE
5TL1140-0,NOT IN OLD CATALOGUE
3VA1150-4ED12-0AA0,FOUND EXACTLY
3RW4046-1BB04,NOT IN OLD CATALOGUE
5SY4102-7CC,FOUND EXACTLY
3SU1103-6AA50-1AA0,FOUND EXACTLY
U60G250EKT,FOUND EXACTLY
5SL6105-7CC,NOT IN OLD CATALOGUE
3VA2216-6HL42-0AA0,NOT IN OLD CATALOGUE
5SL4110-7CC,FOUND EXACTLY
3VA9908-0BB27,NOT IN OLD CATALOGUE
5TL1132-0,NOT IN OLD CATALOGUE
3WL9111-0BB23-0AA0,NOT IN OLD CATALOGUE
5SL6206-7CC,FOUND EXACTLY
3SU1106-0AB60-1BA0,FOUND EXACTLY
3RH2911-1HA12,NOT IN OLD CATALOGUE
7760056235,NOT IN OLD CATALOGUE
3VA2225-5HL42-0AA0,NOT IN OLD CATALOGUE
3VA2063-5HL36-0AA0,NOT IN OLD CATALOGUE
3SU1152-6AA20-1AA0,FOUND EXACTLY
6SL3210-1KE12-3AF2,FOUND EXACTLY
U4242G250ECT-SM2XX,FOUND - FORMAT DIFFERENCE
U48G250ECT,FOUND EXACTLY
5SV9316-7NK06,FOUND EXACTLY
1028500000,NOT IN OLD CATALOGUE
3WA9111-0AF04,NOT IN OLD CATALOGUE
3VA2510-5HM32-0AA0,FOUND EXACTLY
U3018O250ECT-SM2XX,NOT IN OLD CATALOGUE
1165900005,FOUND EXACTLY
1084000000,FOUND EXACTLY
3RT2038-1NB34-3MA0,FOUND EXACTLY
U48O250EKT-XM1XX,NOT IN OLD CATALOGUE
3RH2911-1GA31,FOUND EXACTLY
U48G250EKT,FOUND EXACTLY
3VA1125-5ED12-0AA0,FOUND EXACTLY
U4218O250EKT-XM1XX,NOT IN OLD CATALOGUE
U6036O250EKT-SM1XX,NOT IN OLD CATALOGUE
U36O250ECT-XMXXX,NOT IN OLD CATALOGUE
3SU1150-0AB10-1BA0,FOUND EXACTLY
U24G250ECT-SMXXX,NOT IN OLD CATALOGUE
3VA1125-4EF32-0AA0,NOT IN OLD CATALOGUE
3SU1153-6AA40-1AA0,FOUND EXACTLY
1165900050,FOUND EXACTLY
5SL4120-7CC,FOUND EXACTLY
3VA2463-5KQ32-0AA0,NOT IN OLD CATALOGUE
7760056103,FOUND EXACTLY
U6036G250ECT-SM1XX,FOUND - FORMAT DIFFERENCE
6SL3210-5BE31-5CV0,FOUND EXACTLY
3WL9111-0AH12-0AA0,NOT IN OLD CATALOGUE
3SU1401-2BB60-1AA0,FOUND EXACTLY
U84G250ECT-SM1XX,FOUND - FORMAT DIFFERENCE
3WL9111-0AA52-0AA0,NOT IN OLD CATALOGUE
5SL6363-7CC,FOUND EXACTLY
PB-M-BLU,FOUND EXACTLY
U2412O250EKT-SMXXX,NOT IN OLD CATALOGUE
5SL6325-7CC,FOUND EXACTLY
3SK1211-1BB00,NOT IN OLD CATALOGUE
1068300000,NOT IN OLD CATALOGUE
3VA2463-5HM32-0AA0,FOUND EXACTLY
3VA1132-4EE32-0AA0,FOUND EXACTLY
U2412O250ECT-XMXXX,NOT IN OLD CATALOGUE
1053160000,FOUND EXACTLY
3VA1340-5EF42-0AA0,NOT IN OLD CATALOGUE
3SU1401-2BF30-1AA0,FOUND EXACTLY
3SU1401-1BC40-1AA0,FOUND EXACTLY
3RT2916-1BB00,FOUND EXACTLY
5SY4380-7,NOT IN OLD CATALOGUE
6SL3210-1KE21-3AP1,NOT IN OLD CATALOGUE
ENCY25042T,FOUND EXACTLY
5SL6303-7CC,NOT IN OLD CATALOGUE
3RT2026-1BB40,NOT IN OLD CATALOGUE
5SL6320-7CC,FOUND EXACTLY
3NW6112-1,NOT IN OLD CATALOGUE
1059180000,NOT IN OLD CATALOGUE
U60G250ECT-SXXXX,NOT IN OLD CATALOGUE
3RB3036-1WW1,NOT IN OLD CATALOGUE
U96G250EKT-SXXXX,NOT IN OLD CATALOGUE
7760056073,FOUND EXACTLY
3RT2037-1AV00,NOT IN OLD CATALOGUE
5SL6220-7CC,FOUND EXACTLY
3VA2125-6HL32-0AA0,NOT IN OLD CATALOGUE
3SU1401-1BB60-1AA0,FOUND EXACTLY
3VA2116-5HM32-0AA0,FOUND EXACTLY
3SU1100-2BF60-1BA0,FOUND EXACTLY
3VA1163-4ED22-0AA0,FOUND EXACTLY
2528610000,FOUND EXACTLY
U48O250EKT-SXXXX,NOT IN OLD CATALOGUE
U48O250EKT-SMXXX,NOT IN OLD CATALOGUE
1063120000,NOT IN OLD CATALOGUE
5SY6240-7CC,FOUND EXACTLY
ENCL25024T,NOT IN OLD CATALOGUE
6SL3255-0AA00-4CA1,FOUND - FORMAT DIFFERENCE
3SU1153-6AA50-1AA0,FOUND EXACTLY
3VA9908-0BB25,FOUND EXACTLY
3VA1340-4EF32-0AA0,FOUND EXACTLY
3VA1112-5EE32-0AA0,NOT IN OLD CATALOGUE
1165900010,FOUND EXACTLY
3VA9257-0HA10,FOUND EXACTLY
3SU1156-0AB40-1BA0,FOUND EXACTLY
3SU1106-0AB20-1CA0,FOUND EXACTLY
6SL3210-1KE18-8AF1,FOUND EXACTLY
3RT2025-1AF00,NOT IN OLD CATALOGUE
3WL9111-0AA65-0AA0,NOT IN OLD CATALOGUE
1021500000,FOUND EXACTLY
3RT2027-1AV00,NOT IN OLD CATALOGUE
U5430O250EKT-XM2XX,NOT IN OLD CATALOGUE
LK10,FOUND EXACTLY
3SK1211-1BB40,FOUND EXACTLY
U18G250EKT-SXXXX,NOT IN OLD CATALOGUE
3VA2063-6HN32-0AA0,FOUND EXACTLY
U2424G250ECT-SM2XX,FOUND - FORMAT DIFFERENCE
3RW4028-1BB04,NOT IN OLD CATALOGUE
3NW6117-1,NOT IN OLD CATALOGUE
1632090000,NOT IN OLD CATALOGUE
U84O250ECT-SM1XX,NOT IN OLD CATALOGUE
U96O250ECT-SMXXX,NOT IN OLD CATALOGUE
5SL4325-7CC,FOUND EXACTLY
6SE6400-3TC00-4AD2,NOT IN OLD CATALOGUE
U3030O250ECT-XM1XX,NOT IN OLD CATALOGUE
5SL6301-7CC,FOUND EXACTLY
